カード種別	カード名	星	イベント名	選択肢1	結果1	選択肢2	結果2	選択肢3	結果3	選択肢4	結果4	選択肢5	結果5
育成ウマ娘	サイレンススズカ	星3	趣味、特技、休日の過ごし方	そのままのスズカが知りたい	スタミナ+20	答え方を変えよう	スピード+10 賢さ+10						
育成ウマ娘	サイレンススズカ	星3	白い誘惑	半分こして食べる？	体力+10 スキルPt+5	気にせず食べちゃおう！	体力+12 スキルPt+10						
育成ウマ娘	サイレンススズカ	星3	背を追ってくれるから	直線のトレーニングで	スピード+5 スキルPt+15	左回りのトレーニングで	『左回り◯』のヒントLv+1						
育成ウマ娘	サイレンススズカ	星3	しっとりパーティタイム	いっぱい食べよう！	体力+10	食前の運動もしっかりとな	スタミナ+5 パワー+5						
育成ウマ娘	サイレンススズカ	星3	ウマドル☆猛特訓！	ノリノリで！	スピード+10 パワー+10 ランダムで「注目株」になる	す、好きなように……？	根性+10 賢さ+10 「注目株」になる						
育成ウマ娘	サイレンススズカ	星3	Landscape color	緑が好きなんだな	根性+20	白が好きなんだな	パワー+20						
育成ウマ娘	サイレンススズカ	星3	スズカ流後輩指導？	併走トレーニングから	スピード+10	逃げ方の指導から	賢さ+10						
育成ウマ娘	サイレンススズカ	星3	私とあなたの、小さな雪景色	ありがとう、すごく嬉しい	スタミナ+10	故郷の雪も綺麗なんだな	調査中	スイッチつけてみてもいい？	調査中				
育成ウマ娘	サイレンススズカ	星3	あなたの喜ぶ景色	のびのび走ってくれると嬉しい	パワー+10	走りすぎに気をつけてくれると嬉しい	調査中						
育成ウマ娘	サイレンススズカ	星3	私の小さな雪景色	応援してるぞ！	スタミナ+10	代わりにやってみてもいい？	賢さ+10						
育成ウマ娘	サイレンススズカ	星3	ふたりの相性はいかに！？	マチカネフクキタルとやってみたら？	スタミナ+10	わたしとやってみる？	パワー+5 根性+5						
育成ウマ娘	サイレンススズカ	星3	雨の日の過ごし方	勉強とか	根性+10	料理とか	スピード+5 賢さ+5						
育成ウマ娘	サイレンススズカ	星3	ダンスレッスン	これも練習だ！	賢さ+10	ファンの声に応えてみよう	根性+10						
育成ウマ娘	サイレンススズカ	星3	追加の自主トレ	夜の景色を満喫しよう	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	寮の門限が近いぞ	体力+5						
育成ウマ娘	サイレンススズカ	星3	レース勝利！	1着おめでとう！	体力-15 スタミナ+5 スキルPt+30	まだ走り足りない？	体力-20 賢さ+5 スキルPt+30						
育成ウマ娘	サイレンススズカ	星3	レース入着	次は逃げきろう！	体力-20 賢さ+6 スキルPt+39	帰ってすぐにトレーニングだ	調査中						
育成ウマ娘	サイレンススズカ	星3	新年の抱負	速さを追求しよう！	スピード+10	まずはリラックスしよう！	体力+20	ひとまず、明けましておめでとう！	スキルPt+20				
